,fighter1,fighter2,event_name,event_date,details,result,fighter_name
0,Dylan Andrews,Papy  Abedi,UFC,"Aug 28, 2013",Condit vs. Kampmann 2 Condit vs. Kampmann 2:Live from Indianapolis,Loss,Papy  Abedi
1,Papy  Abedi,Besam Yousef,UFC Sweden 2013 Live from Stockholm,"Apr 6, 2013",Mousasi vs. Latifi,Win,Papy  Abedi
2,Papy  Abedi,James Head,UFC® Live,"Apr 14, 2012",Gustafsson vs. Silva,Loss,Papy  Abedi
3,Thiago Alves,Papy  Abedi,UFC® 138,"Nov 5, 2011",LEBEN vs. MUNOZ,Loss,Papy  Abedi
0,Ricardo Abreu,Jake Collier,UFC Fight Night Boetsch vs. Henderson,"Jun 6, 2015",TSN 5,Loss,Ricardo Abreu
1,Ricardo Abreu,Wagner Silva,UFC Fight Night Miocic vs. Maldonado,"May 31, 2014",UFC Fight Pass,Win,Ricardo Abreu
0,Yoshihiro Akiyama,Alberto Mina,UFC Fight Night Henderson vs Masvidal,"Nov 28, 2015",Fight Network,Loss,Yoshihiro Akiyama
1,Yoshihiro Akiyama,Amir Sadollah,UFC Fight Night Hunt vs. Nelson,"Sep 20, 2014",UFC FIGHT PASS,Win,Yoshihiro Akiyama
2,Yoshihiro Akiyama,Jake Shields,UFC® 144,"Feb 25, 2012",Edgar vs. Henderson,Loss,Yoshihiro Akiyama
3,Vitor Belfort,Yoshihiro Akiyama,UFC® 133,"Aug 6, 2011",Evans vs. Ortiz,Loss,Yoshihiro Akiyama
4,Michael Bisping,Yoshihiro Akiyama,UFC® 120,"Oct 16, 2010",BISPING vs AKIYAMA,Loss,Yoshihiro Akiyama
5,Chris Leben,Yoshihiro Akiyama,UFC® 116,"Jul 3, 2010",LESNAR vs CARWIN,Loss,Yoshihiro Akiyama
6,Yoshihiro Akiyama,Alan Belcher,UFC® 100,"Jul 11, 2009",Lesnar vs. Mir II,Win,Yoshihiro Akiyama
7,Yoshihiro Akiyama,Masanori Tonooka,DREAM 6,"Sep 23, 2008",Middleweight Grand Prix 2008 Final Round,Win,Yoshihiro Akiyama
8,Yoshihiro Akiyama,Katsuyori Shibata,DREAM 5,"Jul 21, 2008",Lightweight Grand Prix 2008 Final Round,Win,Yoshihiro Akiyama
9,Yoshihiro Akiyama,Kazuo Misaki,Yarrenoka! - New Year's Eve 2007,"Dec 31, 2007",,NO CONTEST,Yoshihiro Akiyama
10,Yoshihiro Akiyama,Denis Kang,K-1 Hero's Korea 2007,"Oct 28, 2007",,Win,Yoshihiro Akiyama
11,Yoshihiro Akiyama,Kazushi Sakuraba,K-1 Dynamite!! 2006,"Dec 31, 2006",,NO CONTEST,Yoshihiro Akiyama
12,Yoshihiro Akiyama,Melvin Manhoef,K-1 Hero's 7,"Oct 9, 2006",,Win,Yoshihiro Akiyama
13,Yoshihiro Akiyama,Kestutis Smirnovas,K-1 Hero's 7,"Oct 9, 2006",,Win,Yoshihiro Akiyama
14,Yoshihiro Akiyama,Taiei Kin,K-1 Hero's 6,"Aug 5, 2006",,Win,Yoshihiro Akiyama
15,Yoshihiro Akiyama,Katsuhiko Nagata,K-1 Hero's 5,"May 3, 2006",,Win,Yoshihiro Akiyama
16,Yoshihiro Akiyama,Tokimitsu Ishizawa,K-1 Hero's 4,"Mar 15, 2006",,Win,Yoshihiro Akiyama
17,Yoshihiro Akiyama,Masakatsu Okuda,K-1 Hero's Seoul,"Nov 5, 2005",,Win,Yoshihiro Akiyama
18,Yoshihiro Akiyama,Michael Lerma,K-1 World MAX 2005 Champions Challenge,"Oct 12, 2005",,Win,Yoshihiro Akiyama
19,Yoshihiro Akiyama,Carl Toomey,K-1 Hero's 2,"Jul 6, 2005",,Win,Yoshihiro Akiyama
20,Jerome LeBanner,Yoshihiro Akiyama,K-1 Hero's 1,"Mar 26, 2005",,Loss,Yoshihiro Akiyama
21,Yoshihiro Akiyama,Francois Botha,K-1 Dynamite!! 2004,"Dec 31, 2004",,Win,Yoshihiro Akiyama
0,John Albert,Yaotzin Meza,UFC on FOX 8 Live from Seattle,"Jul 27, 2013",Johnson vs. Moraga,Loss,John Albert
1,Scott Jorgensen,John Albert,UFC®,"Dec 8, 2012",Henderson vs. Diaz,Loss,John Albert
2,John Albert,Erik Perez,The Ultimate Fighter Live®,"Jun 1, 2012",Finale,Loss,John Albert
3,Ivan Menjivar,John Albert,UFC®,"Feb 15, 2012",Sanchez vs. Ellenberger,Loss,John Albert
4,Dustin Pague,John Albert,The Ultimate Fighter Finale,"Dec 3, 2011",Team Miller vs. Team Bisping,Win,John Albert
0,Kevin Casey,Ildemar Alcantara,UFC Fight Night Mir vs. Duffee,"Jul 15, 2015",TSN 4/5,Loss,Ildemar Alcantara
1,Richardson Moreira,Ildemar Alcantara,UFC 183 Silva vs. Diaz,"Jan 31, 2015",Live on Pay-Per-View,Win,Ildemar Alcantara
2,Kenny Robertson,Ildemar Alcantara,UFC 175 Weidman vs. Machida,"Jul 5, 2014",Live on Pay-Per-View,Loss,Ildemar Alcantara
3,Ildemar Alcantara,Albert Tumenov,UFC Fight Night Live on Sportsnet 360,"Feb 15, 2014",Machida vs. Mousasi,Win,Ildemar Alcantara
4,Ildemar Alcantara,Igor Araujo,UFC Fight Night Live on Sportsnet,"Oct 9, 2013",Maia vs. Shields,Loss,Ildemar Alcantara
5,Ildemar Alcantara,Leandro Silva,UFC on FUEL TV 10 Live from Brazil,"Jun 8, 2013",Nogueira vs. Werdum,Win,Ildemar Alcantara
6,Wagner Prado,Ildemar Alcantara,UFC ON SPORTSNET,"Jan 19, 2013",Belfort vs. Bisping,Win,Ildemar Alcantara
0,Jim Alers,Jason Knight,UFC Fight Night Holm vs Shevchenko,"Jul 23, 2016",Live on CTV 2,Loss,Jim Alers
1,Cole Miller,Jim Alers,UFC Fight Night dos Anjos vs Cowboy 2,"Dec 19, 2015",Live on FOX,NO CONTEST,Jim Alers
2,Chas Skelly,Jim Alers,UFC Fight Night Henderson vs. Thatch,"Feb 14, 2015",TSN 5,Loss,Jim Alers
3,Alan Omer,Jim Alers,UFC Fight Night Nogueira vs. Nelson,"Apr 11, 2014",UFC Fight Pass,Win,Jim Alers
0,Leonardo Silva de Oliveira,Marcio Alexandre Junior,DWTNCS Brazil 1.2,"Aug 11, 2018",,Win,Marcio  Alexandre
1,Court McGee,Marcio  Alexandre,UFC 194 Aldo vs McGregor,"Dec 12, 2015",Live on Pay-Per-View,Loss,Marcio  Alexandre
2,Marcio  Alexandre,Tim Means,UFC Fight Night Machida vs. Dollaway,"Dec 20, 2014",Sportsnet 360,Loss,Marcio  Alexandre
3,Marcio  Alexandre,Warlley Alves,UFC Fight Night Miocic vs. Maldonado,"May 31, 2014",UFC Fight Pass,,Marcio  Alexandre
0,Zak Cummings,Benny Alloway,UFC,"Aug 28, 2013",Condit vs. Kampmann 2 Condit vs. Kampmann 2:Live from Indianapolis,Loss,Benny Alloway
1,Benny Alloway,Ryan LaFlare,UFC Sweden 2013 Live from Stockholm,"Apr 6, 2013",Mousasi vs. Latifi,Loss,Benny Alloway
2,Benny Alloway,Manuel Rodriguez,UFC on FX,"Dec 14, 2012",Sotiropoulos vs. Pearson,Win,Benny Alloway
0,Aisling Daly,Ericka Almeida,UFC Fight Night Holohan vs. Smolka,"Oct 24, 2015",UFC FIGHT PASS,Loss,Ericka Almeida
1,Juliana Lima,Ericka Almeida,UFC Fight Night Condit vs. Alves,"May 30, 2015",TSN,Loss,Ericka Almeida
0,Ricardo Almeida,Mike Pyle,UFC® 128,"Mar 19, 2011",SHOGUN vs JONES,Loss,Ricardo Almeida
1,TJ Grant,Ricardo Almeida,UFC® 124,"Dec 11, 2010",ST-PIERRE vs KOSCHECK,Win,Ricardo Almeida
2,Matt Hughes,Ricardo Almeida,UFC® 117,"Aug 7, 2010",SILVA vs SONNEN,Loss,Ricardo Almeida
3,Ricardo Almeida,Matt Brown,UFC® 111,"Mar 27, 2010",ST-PIERRE vs HARDY,Win,Ricardo Almeida
4,Ricardo Almeida,Kendall Grove,UFC® 101,"Aug 8, 2009",DECLARATION,Win,Ricardo Almeida
5,Ricardo Almeida,Matt Horwich,UFC® Fight Night™,"Apr 1, 2009",CONDIT vs KAMPMANN,Win,Ricardo Almeida
6,Patrick Cote,Ricardo Almeida,UFC® 86,"Jul 5, 2008",JACKSON vs GRIFFIN,Loss,Ricardo Almeida
7,Ricardo Almeida,Rob Yundt,UFC® 81,"Feb 2, 2008",BREAKING POINT,Win,Ricardo Almeida
8,Ricardo Almeida,Ryo Chonan,PRIDE Bushido 3,"May 23, 2004",,Win,Ricardo Almeida
9,Andrei Semenov,Ricardo Almeida,UFC® 35,"Jan 11, 2002",Throwdown,Loss,Ricardo Almeida
10,Ricardo Almeida,Eugene Jackson,UFC® 33,"Sep 28, 2001",Victory In Vegas,Win,Ricardo Almeida
11,Matt Lindland,Ricardo Almeida,UFC® 31,"May 4, 2001",Locked & Loaded,Loss,Ricardo Almeida
12,Ricardo Almeida,Akira Shoji,PRIDE 12,"Dec 9, 2000",Cold Fury,Win,Ricardo Almeida
0,Charlie Brenneman,Amilcar Alves,UFC® Fight Night™,"Jan 22, 2011",Fight for the Troops 2,Loss,Amilcar Alves
1,Mike Pierce,Amilcar Alves,UFC® 118,"Aug 28, 2010",EDGAR vs PENN 2,Loss,Amilcar Alves
0,TJ Waldburger,Adlan Amagov,UFC 166 Live on Pay-Per-View,"Oct 19, 2013",Velasquez vs. Dos Santos 3,Win,Adlan Amagov
1,Chris Spang,Adlan Amagov,UFC Sweden 2013 Live from Stockholm,"Apr 6, 2013",Mousasi vs. Latifi,Win,Adlan Amagov
2,Adlan Amagov,Keith Berry,STRIKEFORCE on Showtime 3,"Aug 18, 2012",Rousey vs. Kaufman,Win,Adlan Amagov
3,Robbie Lawler,Adlan Amagov,STRIKEFORCE,"Jan 7, 2012",Rockhold vs. Jardine,Loss,Adlan Amagov
4,Adlan Amagov,Anthony Smith,Strikeforce Challengers 20,"Nov 18, 2011",,Win,Adlan Amagov
5,Adlan Amagov,Ron Stallings,Strikeforce Challengers 17,"Jul 22, 2011",,Win,Adlan Amagov
0,Rich Walsh,Viscardi Andrade,UFC Fight Night Hunt vs. Mir,"Mar 19, 2016",Live on TSN 2,Win,Viscardi Andrade
1,Viscardi Andrade,Gasan Umalatov,UFC Fight Night Belfort vs Henderson,"Nov 7, 2015",FS1,Win,Viscardi Andrade
2,Viscardi Andrade,Nico Musoke,UFC Fight Night Live on Sportsnet 360,"Feb 15, 2014",Machida vs. Mousasi,Loss,Viscardi Andrade
3,Viscardi Andrade,Bristol Marunde,UFC 163 Live on Pay-Per-View,"Aug 3, 2013",Aldo vs. Korean Zombie,Win,Viscardi Andrade
0,Dylan Andrews,Bradley Scott,UFC Fight Night Miocic vs. Hunt,"May 9, 2015",FIGHT NETWORK,Loss,Dylan Andrews
1,Dylan Andrews,Sam Alvey,UFC Fight Night Rockhold vs. Bisping,"Nov 7, 2014",UFC FIGHT PASS,Loss,Dylan Andrews
2,Dylan Andrews,Clint Hester,UFC Fight Night Live on Sportsnet One,"Dec 6, 2013",Hunt vs. Bigfoot,Loss,Dylan Andrews
3,Dylan Andrews,Papy  Abedi,UFC,"Aug 28, 2013",Condit vs. Kampmann 2 Condit vs. Kampmann 2:Live from Indianapolis,Win,Dylan Andrews
4,Dylan Andrews,Jimmy Quinlan,The Ultimate Fighter 17 Finale Live from Las Vegas,"Apr 13, 2013",Faber vs. Jorgensen,Win,Dylan Andrews
0,Wang Anying,Colby Covington,UFC Fight Night Bisping vs. Le,"Aug 23, 2014",UFC FIGHT PASS,Loss,Wang Anying
1,Albert Cheng,Wang Anying,UFC Fight Night Kim vs. Hathaway,"Mar 1, 2014",UFC Fight Pass,Win,Wang Anying
0,Igor Araujo,Sean Strickland,UFC Fight Night Mir vs. Duffee,"Jul 15, 2015",TSN 4/5,Loss,Igor Araujo
1,Igor Araujo,George Sullivan,UFC Fight Night Bigfoot vs. Arlovski,"Sep 13, 2014",UFC FIGHT PASS,Loss,Igor Araujo
2,Igor Araujo,Danny Mitchell,UFC Fight Night Gustafsson vs. Manuwa,"Mar 8, 2014",UFC Fight Pass,Win,Igor Araujo
3,Ildemar Alcantara,Igor Araujo,UFC Fight Night Live on Sportsnet,"Oct 9, 2013",Maia vs. Shields,Win,Igor Araujo
0,Jake Matthews,Akbarh Arreola,UFC 193 Rousey vs Holm,"Nov 14, 2015",Live on Pay-Per-View,Loss,Akbarh Arreola
1,Francisco Trinaldo,Akbarh Arreola,UFC Fight Night Maia vs. LaFlare,"Mar 21, 2015",TSN 1,Loss,Akbarh Arreola
2,Yves Edwards,Akbarh Arreola,UFC Fight Night Edgar vs. Swanson,"Nov 22, 2014",Sportsnet 360,Win,Akbarh Arreola
3,Akbarh Arreola,Tiago Trator,UFC Fight Night Lawler vs. Brown,"Jul 26, 2014",Sportsnet 360,Loss,Akbarh Arreola
0,Cesar Arzamendia,Damien Brown,UFC 201 Lawler vs. Woodley,"Jul 30, 2016",Live on Pay-Per-View,Loss,Cesar Arzamendia
1,Cesar Arzamendia,Marco Polo Reyes,UFC Fight Night Brown vs Gastelum,"Nov 21, 2015",TSN1,Loss,Cesar Arzamendia
0,Bradley Scott,Scott Askham,UFC Fight Night Manuwa vs Anderson,"Mar 18, 2017",Live on Fight Network,Loss,Scott Askham
1,Scott Askham,Jack Hermansson,UFC Fight Night Arlovski vs Barnett,"Sep 3, 2016",Live on Fight Network and UFC FIGHT PASS,Loss,Scott Askham
2,Scott Askham,Chris Dempsey,UFC Fight Night Silva vs. Bisping,"Feb 27, 2016",Live on Fight Network,Win,Scott Askham
3,Scott Askham,Krzysztof Jotko,UFC Fight Night Holohan vs. Smolka,"Oct 24, 2015",UFC FIGHT PASS,Loss,Scott Askham
4,Scott Askham,Antonio dos Santos,UFC Fight Night Jedrzejczyk vs. Penne,"Jun 20, 2015",Fight Network,Win,Scott Askham
5,Magnus Cedenblad,Scott Askham,UFC Fight Night Nelson vs. Story,"Oct 4, 2014",UFC FIGHT PASS,Loss,Scott Askham
0,Rich Attonito,Jake Hecht,UFC® 140,"Dec 10, 2011",Jones vs. Machida,Loss,Rich Attonito
1,Daniel Roberts,Rich Attonito,UFC® LIVE,"Jun 26, 2011",KONGO vs BARRY,Win,Rich Attonito
2,Rich Attonito,David Branch,The Ultimate Fighter® 12,"Dec 4, 2010",Team GSP vs Team Koscheck Finale,Loss,Rich Attonito
3,Rich Attonito,Rafael Natal,UFC® Fight Night™,"Sep 15, 2010",:MARQUARDT vs PALHARES,Win,Rich Attonito
4,Jamie Yager,Rich Attonito,The Ultimate Fighter® FINALE,"Jun 19, 2010",Team Liddell vs Team Ortiz,Win,Rich Attonito
0,Pat Audinwood,John  Makdessi,UFC® 124,"Dec 11, 2010",ST-PIERRE vs KOSCHECK,Loss,Pat Audinwood
1,Thiago Tavares,Pat Audinwood,UFC® 119,"Sep 25, 2010",MIR vs CRO COP,Loss,Pat Audinwood
0,Antonio Carlos Junior,Leonardo Augusto Leleco,UFC Fight Night Poirier vs Johnson,"Sep 17, 2016",Live on TSN 4/5,Loss,Leonardo Augusto L...
1,Anthony Smith,Leonardo Augusto Leleco,UFC Fight Night Cowboy vs. Cowboy,"Feb 21, 2016",Live on TSN 2,Loss,Leonardo Augusto L...
0,Enrique Barzola,Chris Avila,UFC Fight Night Dos Anjos vs Ferguson,"Nov 5, 2016",Live on TSN 5,Loss,Chris Avila
1,Artem Lobov,Chris Avila,UFC 202 Diaz vs McGregor 2,"Aug 20, 2016",Live on Pay-Per-View,Loss,Chris Avila
0,Niklas Backstrom,Noad Lahat,UFC Fight Night Jedrzejczyk vs. Penne,"Jun 20, 2015",Fight Network,Loss,Niklas Backstrom
1,Niklas Backstrom,Mike Wilkinson,UFC Fight Night Nelson vs. Story,"Oct 4, 2014",UFC FIGHT PASS,Loss,Niklas Backstrom
2,Tom Niinimaki,Niklas Backstrom,UFC Fight Night,"May 31, 2014",Munoz vs Mousasi,Win,Niklas Backstrom
0,Seth Baczynski,Leon Edwards,UFC Fight Night Gonzaga vs. Cro Cop 2,"Apr 11, 2015",FIGHT NETWORK,Loss,Seth Baczynski
1,Seth Baczynski,Alan Jouban,UFC Fight Night Bader vs. Saint Preux,"Aug 16, 2014",Sportsnet 360,Loss,Seth Baczynski
2,Thiago Alves,Seth Baczynski,UFC Fight Night Werdum vs. Browne,"Apr 19, 2014",Sportsnet 360,Loss,Seth Baczynski
3,Neil Magny,Seth Baczynski,UFC Fight Night Live on Sportsnet 360,"Nov 6, 2013",Kennedy vs. Natal,Win,Seth Baczynski
4,Seth Baczynski,Brian Melancon,UFC 162 Live from Las Vegas,"Jul 6, 2013",Silva vs. Weidman,Loss,Seth Baczynski
5,Mike Pierce,Seth Baczynski,UFC on FX,"Dec 14, 2012",Sotiropoulos vs. Pearson,Loss,Seth Baczynski
6,Seth Baczynski,Simeon Thoresen,UFC® 152 Live on Pay-Per-View,"Sep 22, 2012",Jones vs. Belfort,Win,Seth Baczynski
7,Seth Baczynski,Lance Benoist,UFC®,"Jun 8, 2012",Johnson vs. McCall,Win,Seth Baczynski
8,Matt Brown,Seth Baczynski,UFC® 139 Live on Pay-Per-View,"Nov 19, 2011",Shogun vs. Henderson,Win,Seth Baczynski
9,Clay Harvison,Seth Baczynski,UFC® Fight Night™ Live,"Sep 17, 2011",SHIELDS vs. ELLENBERGER,Win,Seth Baczynski
10,Brad Tavares,Seth Baczynski,The Ultimate Fighter® FINALE,"Jun 19, 2010",Team Liddell vs Team Ortiz,Loss,Seth Baczynski
0,Ryan Bader,Antonio Rogerio Nogueira,UFC Fight Night Bader vs Nogueira,"Nov 19, 2016",Live on TSN 5,Win,Ryan Bader
1,Ryan Bader,Ilir Latifi,UFC Fight Night Arlovski vs Barnett,"Sep 3, 2016",Live on Fight Network and UFC FIGHT PASS,Win,Ryan Bader
2,Anthony Johnson,Ryan Bader,UFC Fight Night Johnson vs. Bader,"Jan 30, 2016",Live on FOX,Loss,Ryan Bader
3,Ryan Bader,Rashad Evans,UFC 192 Cormier vs. Gustafsson,"Oct 3, 2015",Live on Pay-Per-View,Win,Ryan Bader
4,Phil Davis,Ryan Bader,UFC Fight Night Gustafsson vs. Johnson,"Jan 24, 2015",Live on TSN 4,Win,Ryan Bader
5,Ryan Bader,Ovince Saint Preux,UFC Fight Night Bader vs. Saint Preux,"Aug 16, 2014",Sportsnet 360,Win,Ryan Bader
6,Ryan Bader,Rafael Cavalcante,UFC 174 Johnson vs. Bagautinov,"Jun 14, 2014",Live on Pay-Per-View,Win,Ryan Bader
7,Ryan Bader,Anthony Perosh,UFC Fight Night Live on Sportsnet One,"Dec 6, 2013",Hunt vs. Bigfoot,Win,Ryan Bader
8,Glover Teixeira,Ryan Bader,UFC,"Sep 4, 2013",Teixeira vs. Bader Teixeira vs. Bader:Sept. 4 on FOX Sports 1,Loss,Ryan Bader
9,Ryan Bader,Vladimir Matyushenko,UFC,"Jan 26, 2013",Johnson vs. Dodson,Win,Ryan Bader
10,Lyoto Machida,Ryan Bader,UFC® on FOX,"Aug 4, 2012",Shogun vs. Vera,Loss,Ryan Bader
11,Rampage Jackson,Ryan Bader,UFC® 144,"Feb 25, 2012",Edgar vs. Henderson,Win,Ryan Bader
12,Ryan Bader,Jason Brilz,UFC® 139 Live on Pay-Per-View,"Nov 19, 2011",Shogun vs. Henderson,Win,Ryan Bader
13,Tito Ortiz,Ryan Bader,UFC® 132,"Jul 2, 2011",Cruz vs. Faber,Loss,Ryan Bader
14,Jon Jones,Ryan Bader,UFC® 126,"Feb 5, 2011",SILVA vs BELFORT,Loss,Ryan Bader
15,Antonio Rogerio Nogueira,Ryan Bader,UFC® 119,"Sep 25, 2010",MIR vs CRO COP,Win,Ryan Bader
16,Ryan Bader,Keith Jardine,UFC® 110,"Feb 20, 2010",NOGUEIRA vs VELASQUEZ,Win,Ryan Bader
17,Ryan Bader,Eric Schafer,UFC® 104,"Oct 24, 2009",MACHIDA v SHOGUN,Win,Ryan Bader
18,Ryan Bader,Carmelo Marrero,UFC® Fight Night™,"Apr 1, 2009",CONDIT vs KAMPMANN,Win,Ryan Bader
19,Ryan Bader,Vinny Magalhaes,The Ultimate Fighter® Finale,"Dec 13, 2008",Team Nog vs Team Mir,,Ryan Bader
0,Izabela Badurek,Alexandra Albu,UFC Fight Night Gonzaga vs. Cro Cop 2,"Apr 11, 2015",FIGHT NETWORK,Loss,Izabela Badurek
0,Kyoji Horiguchi,Ali Bagautinov,UFC Fight Night Mousasi vs Hall 2,"Nov 19, 2016",Live on Fight Network & UFC FIGHT PASS,Loss,Ali Bagautinov
1,Ali Bagautinov,Geane Herrera,UFC Fight Night MacDonald vs. Thompson,"Jun 18, 2016",Live on TSN 5,Win,Ali Bagautinov
2,Joseph Benavidez,Ali Bagautinov,UFC 192 Cormier vs. Gustafsson,"Oct 3, 2015",Live on Pay-Per-View,Loss,Ali Bagautinov
3,Demetrious Johnson,Ali Bagautinov,UFC 174 Johnson vs. Bagautinov,"Jun 14, 2014",Live on Pay-Per-View,,Ali Bagautinov
4,John Lineker,Ali Bagautinov,UFC 169 Live on Pay-Per-View,"Feb 1, 2014",Barao vs. Faber,Win,Ali Bagautinov
5,Tim Elliott,Ali Bagautinov,UFC 167 Live on Pay-Per-View,"Nov 16, 2013",St-Pierre vs. Hendricks,Win,Ali Bagautinov
6,Marcos Vinicius,Ali Bagautinov,UFC,"Sep 4, 2013",Teixeira vs. Bader Teixeira vs. Bader:Sept. 4 on FOX Sports 1,Win,Ali Bagautinov
0,John  Makdessi,Mehdi Baghdad,UFC Fight Night Dos Anjos vs. Alvarez,"Jul 7, 2016",Live on Fight Network,Loss,Mehdi Baghdad
1,Chris Wade,Mehdi Baghdad,UFC Fight Night Dillashaw vs. Cruz,"Jan 17, 2016",TSN 5,Loss,Mehdi Baghdad
0,Danny Castillo,Shamar Bailey,UFC® 139 Live on Pay-Per-View,"Nov 19, 2011",Shogun vs. Henderson,Loss,Shamar Bailey
1,Evan Dunham,Shamar Bailey,UFC® Fight Night™ Live,"Sep 17, 2011",SHIELDS vs. ELLENBERGER,Loss,Shamar Bailey
2,Ryan  McGilivray,Shamar Bailey,The Ultimate Fighter®,"Jun 4, 2011",Team Lesnar vs. Team Dos Santos Finale,Win,Shamar Bailey
3,Justin Wilcox,Shamar Bailey,Strikeforce Challengers 7,"Mar 26, 2010",,Loss,Shamar Bailey
4,Shamar Bailey,John Kolosci,Strikeforce - Fedor vs. Rogers,"Nov 7, 2009",,Win,Shamar Bailey
0,Alessio Di Chirico,Oluwale Bamgbose,UFC Fight Night Lawler vs Dos Anjos,"Dec 16, 2017",Live on CTV TWO,Loss,Oluwale Bamgbose
1,Paulo Costa,Oluwale Bamgbose,UFC 212 Aldo vs Holloway,"Jun 3, 2017",Live on Pay-Per-View,Loss,Oluwale Bamgbose
2,Oluwale Bamgbose,Cezar Ferreira,UFC Fight Night Teixeira vs. Evans,"Apr 16, 2016",Live on CTV TWO,Loss,Oluwale Bamgbose
3,Daniel Sarafian,Oluwale Bamgbose,UFC Fight Night Cowboy vs. Cowboy,"Feb 21, 2016",Live on TSN 2,Win,Oluwale Bamgbose
4,Uriah Hall,Oluwale Bamgbose,UFC Fight Night Teixeira vs. Saint Preux,"Aug 8, 2015",TSN 2,Loss,Oluwale Bamgbose
0,Marcin Bandel,Stevie Ray,UFC Fight Night Gonzaga vs. Cro Cop 2,"Apr 11, 2015",FIGHT NETWORK,Loss,Marcin Bandel
1,Mairbek Taisumov,Marcin Bandel,UFC Fight Night Nelson vs. Story,"Oct 4, 2014",UFC FIGHT PASS,Loss,Marcin Bandel
0,Masakazu Imanari,Antonio Banuelos,DREAM - New Year! 2011,"Dec 31, 2011",,Win,Antonio Banuelos
1,Bibiano Fernandes,Antonio Banuelos,DREAM - New Year! 2011,"Dec 31, 2011",,,Antonio Banuelos
2,Hideo Tokoro,Antonio Banuelos,DREAM 17,"Sep 24, 2011",,Win,Antonio Banuelos
3,Miguel Angel Torres,Antonio Banuelos,UFC® 126,"Feb 5, 2011",SILVA vs BELFORT,Loss,Antonio Banuelos
4,Chad George,Antonio Banuelos,WEC 51,"Sep 30, 2010",Aldo vs. Gamburyan,Win,Antonio Banuelos
5,Antonio Banuelos,Scott Jorgensen,WEC 48,"Apr 24, 2010",Aldo vs. Faber,Loss,Antonio Banuelos
6,Antonio Banuelos,Kenji Osawa,WEC 44,"Nov 18, 2009",Brown vs. Aldo,Win,Antonio Banuelos
7,Antonio Banuelos,Scott Jorgensen,WEC 41,"Jun 7, 2009",Brown vs. Faber 2,Win,Antonio Banuelos
8,Manny Tapia,Antonio Banuelos,WEC 32,"Feb 13, 2008",Condit vs. Prater,Loss,Antonio Banuelos
9,Antonio Banuelos,Justin Robbins,WEC 29,"Aug 5, 2007",Condit vs. Larson,Win,Antonio Banuelos
10,Charlie Valencia,Antonio Banuelos,WEC 26,"Mar 24, 2007",Condit vs. Alessio,Loss,Antonio Banuelos
11,Antonio Banuelos,Mike French,WEC 25,"Jan 20, 2007",McCullough vs. Cope,Win,Antonio Banuelos
12,Antonio Banuelos,Cole Escovedo,WEC 23,"Aug 17, 2006",Hot August Fights,Win,Antonio Banuelos
13,Eddie Wineland,Antonio Banuelos,WEC 20,"May 5, 2006",Cinco de Mayhem,,Antonio Banuelos
0,Mark Munoz,Luke Barnatt,UFC Fight Night Edgar vs. Faber,"May 16, 2015",TSN,Loss,Luke Barnatt
1,Luke Barnatt,Roger Narvaez,UFC Fight Night Edgar vs. Swanson,"Nov 22, 2014",Sportsnet 360,Loss,Luke Barnatt
2,Luke Barnatt,Sean Strickland,UFC Fight Night,"May 31, 2014",Munoz vs Mousasi,Loss,Luke Barnatt
3,Luke Barnatt,Mats Nilsson,UFC Fight Night Gustafsson vs. Manuwa,"Mar 8, 2014",UFC Fight Pass,Win,Luke Barnatt
4,Luke Barnatt,Andrew Craig,UFC Fight Night Live on Sportsnet,"Oct 26, 2013",Machida vs. Munoz,Win,Luke Barnatt
5,Luke Barnatt,Collin Hart,The Ultimate Fighter 17 Finale Live from Las Vegas,"Apr 13, 2013",Faber vs. Jorgensen,Win,Luke Barnatt
0,Hayato Sakurai,Phil Baroni,DREAM 18,"Dec 31, 2012",,Loss,Phil Baroni
1,Phil Baroni,Brad Tavares,UFC® 125,"Jan 1, 2011",RESOLUTION,Loss,Phil Baroni
2,Amir Sadollah,Phil Baroni,UFC® 106,"Nov 21, 2009",ORTIZ vs GRIFFIN 2,Loss,Phil Baroni
3,Joe Riggs,Phil Baroni,Strikeforce - Lawler vs. Shields,"Jun 6, 2009",,Loss,Phil Baroni
4,Joey Villasenor,Phil Baroni,EliteXC - Primetime,"May 31, 2008",,Loss,Phil Baroni
5,Frank Shamrock,Phil Baroni,Strikeforce - Shamrock vs. Baroni,"Jun 22, 2007",,,Phil Baroni
6,Phil Baroni,Yosuke Nishijima,PRIDE 32,"Oct 21, 2006",The Real Deal,Win,Phil Baroni
7,Kazuo Misaki,Phil Baroni,PRIDE Bushido 11,"Jun 4, 2006",,Loss,Phil Baroni
8,Phil Baroni,Yuki Kondo,PRIDE Bushido 10,"Apr 2, 2006",,Win,Phil Baroni
9,Ikuhisa Minowa,Phil Baroni,PRIDE Bushido 9,"Sep 25, 2005",The Tournament,Loss,Phil Baroni
10,Phil Baroni,Ryo Chonan,PRIDE Bushido 8,"Jul 17, 2005",,Win,Phil Baroni
11,Phil Baroni,Ikuhisa Minowa,PRIDE Bushido 7,"May 22, 2005",,Win,Phil Baroni
12,Pete Sell,Phil Baroni,UFC® 51,"Feb 5, 2005",Super Saturday,Loss,Phil Baroni
13,Evan Tanner,Phil Baroni,UFC® 48,"Jun 19, 2004",Payback,Loss,Phil Baroni
