,fighter1,fighter2,event_name,event_date,details,result,fighter_name
3,Roxanne Modafferi,Raquel Pennington,TUF 18 Finale Live on Sportsnet 360,"Nov 30, 2013",Maynard vs. Diaz,Loss,Roxanne Modafferi
4,Sarah Kaufman,Roxanne Modafferi,Strikeforce Challengers 9,"Jul 23, 2010",,,Roxanne Modafferi
5,Marloes Coenen,Roxanne Modafferi,Strikeforce - Fedor vs. Rogers,"Nov 7, 2009",,Loss,Roxanne Modafferi
0,Renato Moicano,Mirsad Bektic,UFC 231,"Dec 8, 2018",Holloway vs. Ortega,UPCOMING,Renato Moicano
1,Cub Swanson,Renato Moicano,UFC 227 Dillashaw vs Garbrandt 2,"Aug 4, 2018",Live on Pay-Per-View,Win,Renato Moicano
2,Renato Moicano,Calvin Kattar,UFC 223 Khabib vs Iaquinta,"Apr 7, 2018",Live on Pay-Per-View,Win,Renato Moicano
3,Brian Ortega,Renato Moicano,UFC 214 Cormier vs Jones 2,"Jul 29, 2017",Live on Pay-Per-View,Loss,Renato Moicano
4,Jeremy Stephens,Renato Moicano,UFC Fight Night Johnson vs Reis,"Apr 15, 2017",Live on CTV TWO & TSN 5,Win,Renato Moicano
5,Renato Moicano,Zubaira Tukhugov,UFC 198 Werdum vs. Miocic,"May 14, 2016",Live on Pay-Per-View,Win,Renato Moicano
6,Tom Niinimaki,Renato Moicano,UFC Fight Night,"Dec 20, 2014",Machida vs Dollaway,Win,Renato Moicano
0,Ashkan Mokhtarian,Kai Kara-France,UFC Fight Night,"Dec 1, 2018",Dos Santos vs. Tuivasa,UPCOMING,Ashkan Mokhtarian
1,Ryan Benoit,Ashkan Mokhtarian,UFC Fight Night Werdum vs Tybura,"Nov 18, 2017",Live on TSN 5,Loss,Ashkan Mokhtarian
2,John Moraga,Ashkan Mokhtarian,UFC Fight Night Lewis vs Hunt,"Jun 10, 2017",Live on TSN 5,Loss,Ashkan Mokhtarian
0,Nicco Montano,Roxanne Modafferi,The Ultimate Fighter 26 Finale,"Dec 1, 2017",,,Nicco Montano
0,Jimmie Rivera,Marlon Moraes,UFC Fight Night Rivera vs Moraes,"Jun 1, 2018",Live on TSN 2,Win,Marlon Moraes
1,Marlon Moraes,Aljamain Sterling,UFC Fight Night Swanson vs Ortega,"Dec 9, 2017",Live on TSN 5,Win,Marlon Moraes
2,John Dodson,Marlon Moraes,UFC Fight Night Poirier vs Pettis,"Nov 11, 2017",Live on TSN 5,Win,Marlon Moraes
